Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),24.62,23.59,26.31,26.27,25.56,25.36,24.96,24.53,24.21
Inter Token Latency (ms),11.38,9.88,12.86,12.78,12.59,12.43,11.86,11.25,10.82
Request Latency (ms),669.58,664.09,675.84,675.55,674.77,674.30,673.26,667.70,666.16
Output Sequence Length,57.89,51.00,66.00,64.96,62.40,62.00,61.00,58.00,55.00
Input Sequence Length,200.02,200.00,201.00,200.48,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),86.44
Request Throughput (per sec),1.49
