Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"1,019.69",118.95,"1,564.96","1,564.27","1,424.55","1,419.93","1,303.30","1,222.64",647.85
Inter Token Latency (ms),38.61,26.09,59.67,50.89,48.82,47.21,44.38,36.99,33.17
Request Latency (ms),"3,228.73","3,092.08","3,305.63","3,304.80","3,297.14","3,296.50","3,291.40","3,280.84","3,147.29"
Output Sequence Length,58.38,51.00,70.00,66.01,64.00,63.00,60.00,58.00,56.00
Input Sequence Length,200.03,200.00,202.00,201.01,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),1806.07
Request Throughput (per sec),30.94
