Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),79.30,25.92,97.79,93.21,80.44,80.24,79.75,79.51,79.19
Inter Token Latency (ms),11.88,10.28,13.33,13.31,12.90,12.78,12.34,11.90,11.33
Request Latency (ms),757.84,754.86,778.55,777.96,761.56,760.42,758.03,757.35,756.50
Output Sequence Length,58.29,52.00,67.00,65.66,64.00,63.00,61.00,58.00,56.00
Input Sequence Length,200.03,200.00,202.00,201.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),384.44
Request Throughput (per sec),6.60
